"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.74","LP172748-8","STATUS","INACTIVE","ACTIVE",""
"2.74","LP172818-9","STATUS","INACTIVE","ACTIVE",""
"2.74","LP172978-1","STATUS","ACTIVE","DEPRECATED",""
"2.74","LP175756-8","STATUS","INACTIVE","ACTIVE",""
"2.74","LP190645-4","STATUS","ACTIVE","INACTIVE",""
"2.74","LP191426-8","STATUS","ACTIVE","INACTIVE",""
"2.74","LP344736-6","STATUS","INACTIVE","ACTIVE",""
"2.74","LP344937-0","STATUS","ACTIVE","INACTIVE",""
"2.74","LP411198-7","STATUS","ACTIVE","INACTIVE",""
"2.74","LP411199-5","STATUS","ACTIVE","INACTIVE",""
"2.74","LP411200-1","STATUS","ACTIVE","INACTIVE",""
"2.74","LP432638-7","STATUS","ACTIVE","DEPRECATED",""
"2.74","LP433053-8","STATUS","ACTIVE","INACTIVE",""
"2.74","LP433055-3","STATUS","ACTIVE","INACTIVE",""
"2.74","LP65278-1","STATUS","INACTIVE","ACTIVE",""
"2.74","LP91004-9","STATUS","ACTIVE","INACTIVE",""
